name,display_name,family,variant,sort_order,seed_index,seed_label,seed,threshold,weighted_jaccard,jensen_shannon_similarity,exact_overlap_mass,intersection_variants,source_variants,groundtruth_variants,precision,recall,f1
AlphaQCH_s06,AlphaQCH,Alpha,QCH,2,6,s06,2072361201,10,0.2574456154092641,0.94599805273757,0.802270322608459,1677.0,1778.0,4234.0,0.9431946006749157,0.3960793575814832,0.5578842315369261
AlphaQCH_s07,AlphaQCH,Alpha,QCH,2,7,s07,2891725340,1,0.22482777392532874,0.6098648947978357,0.46829540679475556,77197.0,119880.0,273284.0,0.6439522856189522,0.28247903280104214,0.39269617767649123
AlphaQCH_s07,AlphaQCH,Alpha,QCH,2,7,s07,2891725340,2,0.2649228600788757,0.7317521519569476,0.5710766885781234,27203.0,40267.0,107484.0,0.6755655996225197,0.2530888318261323,0.3682276262089597
AlphaQCH_s07,AlphaQCH,Alpha,QCH,2,7,s07,2891725340,3,0.28603803787868737,0.807399110440966,0.6391874670841505,13663.0,19172.0,53134.0,0.712653870227415,0.25714231941882787,0.3779216109313197
AlphaQCH_s07,AlphaQCH,Alpha,QCH,2,7,s07,2891725340,4,0.2933749162492423,0.8535831215935352,0.6793540443135595,7989.0,10751.0,30491.0,0.7430936657055157,0.2620117411695254,0.3874205906600068
AlphaQCH_s07,AlphaQCH,Alpha,QCH,2,7,s07,2891725340,5,0.2928196082754566,0.8834163805009506,0.711502763118017,5134.0,6666.0,19331.0,0.7701770177017702,0.2655837773524391,0.39496865022887256
AlphaQCH_s07,AlphaQCH,Alpha,QCH,2,7,s07,2891725340,6,0.2885610978716411,0.9042102356920705,0.7374822153209171,3600.0,4491.0,13072.0,0.8016032064128257,0.27539779681762544,0.40995274155895917
AlphaQCH_s07,AlphaQCH,Alpha,QCH,2,7,s07,2891725340,7,0.28238464129336477,0.919804432299425,0.7590667909114099,2707.0,3220.0,9309.0,0.8406832298136646,0.29079385540874425,0.43211748742916434
AlphaQCH_s07,AlphaQCH,Alpha,QCH,2,7,s07,2891725340,8,0.2761608067637117,0.9309044056048981,0.7758535348597694,2198.0,2502.0,6930.0,0.8784972022382095,0.31717171717171716,0.46607294317217984
AlphaQCH_s07,AlphaQCH,Alpha,QCH,2,7,s07,2891725340,9,0.27001880418967555,0.9394835922022778,0.7900712202912237,1894.0,2083.0,5290.0,0.9092654824771963,0.35803402646502835,0.5137664451376643
AlphaQCH_s07,AlphaQCH,Alpha,QCH,2,7,s07,2891725340,10,0.26394050392076673,0.9454735011899994,0.8013606447611656,1703.0,1826.0,4234.0,0.9326396495071194,0.40222012281530467,0.5620462046204621
AlphaQCH_s08,AlphaQCH,Alpha,QCH,2,8,s08,2575967173,1,0.2135499564551488,0.6035433703090733,0.46308206681452735,74046.0,114467.0,273284.0,0.6468763923226781,0.27094890297273166,0.38192551405412234
AlphaQCH_s08,AlphaQCH,Alpha,QCH,2,8,s08,2575967173,2,0.25102042959560883,0.7273483558879867,0.5675248321973837,25609.0,37281.0,107484.0,0.6869182693597274,0.23825871757656952,0.3538009878078265
AlphaQCH_s08,AlphaQCH,Alpha,QCH,2,8,s08,2575967173,3,0.2704270533983827,0.8044078460455155,0.6380084972477729,12689.0,17492.0,53134.0,0.7254173336382346,0.23881130726088756,0.3593294254240648
AlphaQCH_s08,AlphaQCH,Alpha,QCH,2,8,s08,2575967173,4,0.276879302776261,0.8519273632284672,0.6808036937683554,7280.0,9628.0,30491.0,0.7561279601163273,0.2387589780590994,0.36292031207158704
AlphaQCH_s08,AlphaQCH,Alpha,QCH,2,8,s08,2575967173,5,0.27591307456210634,0.883113770333352,0.7140183547678046,4687.0,5923.0,19331.0,0.7913219652203275,0.24246029693238838,0.37118872257860136
AlphaQCH_s08,AlphaQCH,Alpha,QCH,2,8,s08,2575967173,6,0.2718984447895112,0.9049552500981902,0.7409011960950027,3277.0,3959.0,13072.0,0.8277342763324071,0.25068849449204406,0.3848276671951148
AlphaQCH_s08,AlphaQCH,Alpha,QCH,2,8,s08,2575967173,7,0.266133607878649,0.9203467002593719,0.7620628985029115,2509.0,2903.0,9309.0,0.8642783327592146,0.2695241164464497,0.4109073042908614
AlphaQCH_s08,AlphaQCH,Alpha,QCH,2,8,s08,2575967173,8,0.26041901510515636,0.9314448511918167,0.7786767797462807,2068.0,2306.0,6930.0,0.8967909800520382,0.2984126984126984,0.447812906019922
AlphaQCH_s08,AlphaQCH,Alpha,QCH,2,8,s08,2575967173,9,0.2550729827433327,0.94004148962102,0.7923864842983626,1776.0,1927.0,5290.0,0.9216398546964193,0.3357277882797732,0.4921712622973535
AlphaQCH_s08,AlphaQCH,Alpha,QCH,2,8,s08,2575967173,10,0.24948336985374023,0.94658566539263,0.8040870951949664,1605.0,1696.0,4234.0,0.9463443396226415,0.3790741615493623,0.5413153456998313
AlphaQCH_s09,AlphaQCH,Alpha,QCH,2,9,s09,2918267749,1,0.2229223638801317,0.6082997139810279,0.4667436103962598,76622.0,118740.0,273284.0,0.6452922351355904,0.28037499451120446,0.3909046384915209
AlphaQCH_s09,AlphaQCH,Alpha,QCH,2,9,s09,2918267749,2,0.2624187794014657,0.7299641087478879,0.5694618484787044,27114.0,39992.0,107484.0,0.6779855971194239,0.25226080160768116,0.3677072879654995
AlphaQCH_s09,AlphaQCH,Alpha,QCH,2,9,s09,2918267749,3,0.2831293700489379,0.8058120032561743,0.6377287621020522,13614.0,19021.0,53134.0,0.715735239997897,0.2562201227086235,0.3773543067008523
AlphaQCH_s09,AlphaQCH,Alpha,QCH,2,9,s09,2918267749,4,0.2901868748553137,0.8520211769539119,0.6779784126652846,7916.0,10638.0,30491.0,0.7441248354953939,0.2596175920763504,0.38493520387074814
AlphaQCH_s09,AlphaQCH,Alpha,QCH,2,9,s09,2918267749,5,0.2893047062970285,0.8822766418056315,0.7107085669843397,5082.0,6577.0,19331.0,0.7726927170442451,0.26289379752728775,0.3923112552107457
